"c2-X1","c2-X2","c2-X3","c2-X4","c2-X5","c2-X6","c2-X7","c2-X8","c2-X9","c2-X10","c2-X11","c2-X12","c2-X13","c2-X14","c2-X15","c2-X16","Unnamed: 0"
161,96,183,5,149,50,15,98,10,0,21,965,1171,1240,1168,1186,"OG0000000"
3,901,1355,24,737,462,8,72,539,495,1125,5868,9854,10019,8681,6669,"OG0000001"
66,333,538,30,368,207,4,19,0,0,0,2278,3518,3283,2887,2227,"OG0000004"
1,9,6,0,3,9,3,24,56,92,114,361,629,729,649,570,"OG0000007"
113,3,2,0,21,0,39,35,306,400,886,454,676,678,611,617,"OG0000008"
147,4,22,0,3,0,3,36,12,12,17,43,43,44,34,26,"OG0000010"
2,18,2,0,0,0,0,3,81,89,181,433,579,658,565,454,"OG0000011"
86,53,155,68,74,50,22,67,369,497,715,5827,11329,11203,9520,5923,"OG0000013"
2,16,5,0,1,4,20,0,2,1,5,115,162,210,174,152,"OG0000014"
86,0,4,0,0,1,69,222,181,327,427,18,35,34,23,16,"OG0000016"
0,319,406,22,310,141,15,59,222,186,583,3821,5450,6279,5024,4764,"OG0000017"
460,4,2,0,7,3,67,56,0,0,0,752,1033,968,821,812,"OG0000018"
79,0,0,0,0,0,0,6,166,215,363,141,198,223,167,205,"OG0000019"
0,3,2,0,1,0,0,0,0,0,0,123,211,178,166,110,"OG0000020"
1778,774,1089,13,1891,177,1244,2914,19682,25385,26972,3977,7336,2576,2395,1107,"OG0000021"
332,193,121,0,156,54,0,153,132,158,309,99,66,129,69,23,"OG0000022"
42,77,157,16,86,78,2,9,44,17,101,228,247,278,235,223,"OG0000023"
1,3,46,0,14,4,153,250,16,42,75,150,116,162,167,141,"OG0000024"
75,4,14,0,5,3,0,5,55,49,106,36,45,53,34,54,"OG0000026"
24,33,62,0,40,17,0,0,0,0,2,90,125,195,170,115,"OG0000027"
721,43,70,1,33,46,0,5,33,27,70,1402,2004,2448,1973,1847,"OG0000028"
3,2,4,0,0,0,0,0,20,57,49,490,702,833,679,1872,"OG0000030"
23,7,0,0,10,9,2,10,42,24,194,224,321,292,242,230,"OG0000031"
1,3,9,0,0,2,0,8,10,22,11,26,2,9,4,5,"OG0000032"
32,22,66,0,33,12,0,44,28,12,71,295,362,440,425,296,"OG0000033"
5,115,138,2,77,39,2,7,5,1,11,33,54,37,23,31,"OG0000034"
43,0,0,0,1,0,1,9,75,193,233,31,27,40,38,28,"OG0000035"
3,24,38,0,16,9,0,14,87,110,262,215,369,318,287,289,"OG0000038"
6,20,4,0,2,5,2,0,0,0,0,168,246,283,237,243,"OG0000039"
0,1,9,0,4,5,0,0,0,0,1,18,7,10,9,9,"OG0000041"
1,16,5,0,10,7,35,143,220,226,275,34,41,44,31,15,"OG0000043"
31,0,0,0,0,0,4,29,0,0,6,464,1509,809,737,846,"OG0000044"
83,58,28,0,16,5,49,23,18,8,18,166,214,301,225,184,"OG0000045"
51,164,277,0,117,100,0,0,373,364,1322,539,698,1003,828,1475,"OG0000046"
153,8,19,0,1,0,74,24,7,1,7,14,24,24,17,24,"OG0000049"
155,1,0,0,0,0,0,0,15,2,2,34,36,42,44,54,"OG0000050"
30,3,11,0,9,4,0,0,8,20,40,26,41,38,28,23,"OG0000051"
54396,8730,10729,4,16724,2729,6989,10867,15731,26035,72980,7565,12127,4152,4098,201,"OG0000053"
659,1737,4189,0,2678,927,6,145,0,4,4,136,254,289,241,170,"OG0000054"
156,12,13,1,3,2,1,2,18,50,132,5,10,14,10,7,"OG0000055"
213,84,165,0,198,45,0,12,890,2905,2091,633,960,1133,975,840,"OG0000056"
38,58,97,1,32,25,9,16,33,44,73,1,4,5,7,11,"OG0000058"
484,5,6,0,8,1,0,8,7,8,19,1156,1475,807,943,580,"OG0000059"
8,774,1085,104,580,347,4,11,0,1,1,25,25,49,48,16,"OG0000060"
305,40,130,15,101,30,0,0,12,10,19,145,193,223,177,106,"OG0000061"
107,233,229,6,167,127,5,22,15,36,84,20,44,33,42,39,"OG0000062"
1,8,0,0,0,1,5,1,76,126,264,10,29,26,12,13,"OG0000063"
255,47,79,5,96,12,0,0,184,296,351,825,1195,1200,970,824,"OG0000064"
423,18,7,0,16,13,3,60,809,904,2215,1566,1435,536,592,43,"OG0000065"
12,1,2,0,0,0,0,0,95,117,196,276,319,344,242,259,"OG0000066"
143,29,118,2,35,32,0,0,127,122,177,349,688,886,798,849,"OG0000067"
16,2,1,0,1,0,0,0,30,24,49,10,23,18,22,20,"OG0000069"
0,48,30,0,25,21,4,30,15,17,44,165,260,300,267,225,"OG0000070"
4,0,0,0,8,0,0,0,5,4,16,16,54,77,37,34,"OG0000071"
6607,765,2898,2,1184,495,112,65,9459,6898,29326,983,594,829,843,648,"OG0000072"
2,32,27,0,50,24,0,24,38,103,118,245,287,300,284,214,"OG0000073"
177,506,973,9,561,439,50,69,0,0,3,626,1089,1323,1073,797,"OG0000074"
0,9,23,0,10,0,12,112,49,16,54,107,134,175,132,92,"OG0000076"
48,4,6,0,0,0,2,6,18,9,19,96,179,91,92,61,"OG0000078"
1,1,3,0,77,8,5,33,70,102,83,12,6,21,13,15,"OG0000080"
35,0,1,0,2,0,0,0,0,16,8,123,167,177,184,108,"OG0000081"
53,0,3,0,10,0,0,0,16,9,94,2,12,5,7,3,"OG0000082"
761,77,140,0,51,76,0,0,0,0,2,211,284,323,248,449,"OG0000083"
0,113,123,1,93,35,0,0,33,48,84,61,83,119,108,81,"OG0000084"
0,94,111,4,79,48,0,2,21,13,19,10,12,22,20,16,"OG0000085"
97,0,1,0,2,0,0,0,1,4,18,53,68,165,141,41,"OG0000086"
3989,133,74,0,112,43,48,203,240,396,264,2,6,4,5,3,"OG0000088"
134,123,168,15,105,67,23,48,14,52,36,832,1323,1757,1407,1103,"OG0000089"
