"eye-X1","eye-X2","eye-X3","eye-X4","eye-X5","eye-X6","eye-X7","eye-X8","eye-X9","eye-X10","eye-X11","eye-X12","eye-X13","eye-X14","eye-X15","eye-X16","eye-X17","eye-X18","eye-X19","Unnamed: 0"
1,0,126,6,0,616,746,405,289,60,86,109,1,1,2974,291,871,218,1059,"OG0000000"
4,0,0,0,0,7887,2206,944,1255,48,50,75,1699,777,1312,687,1534,531,1475,"OG0000001"
8,0,25,1,0,2245,2468,6708,1208,19,36,12,0,0,858,500,1583,216,615,"OG0000004"
0,0,1,0,0,2,4,17,17,81,63,43,399,193,587,253,361,321,143,"OG0000007"
11,0,159,3,0,1,0,4,0,32,44,69,1327,346,594,204,1294,147,847,"OG0000008"
5,1,115,0,0,0,4,0,3,26,47,37,88,148,113,23,46,22,0,"OG0000010"
0,0,8,1,0,3,14,0,15,3,0,9,212,54,131,85,831,115,291,"OG0000011"
100,16,393,71,0,866,176,52,153,44,79,99,1117,328,72,76,344,20,140,"OG0000013"
7,0,10,0,0,113,39,4,3,0,1,9,2,0,221,21,136,14,930,"OG0000014"
1,0,6,0,0,1,3,33,36,204,378,264,1145,231,46,5,5,1,0,"OG0000016"
0,0,0,0,0,1523,1118,1054,720,75,84,81,659,555,1092,1146,1597,574,853,"OG0000017"
27,16,277,17,0,6,63,42,5,376,352,179,0,0,5899,726,4302,1225,848,"OG0000018"
83,0,99,4,0,1,5,0,0,2,5,6,364,177,325,104,254,72,51,"OG0000019"
0,0,0,0,0,75,0,0,0,0,2,0,1,0,206,14,86,45,2,"OG0000020"
1,430,895,21,0,2266,9176,2184,3191,3826,4285,6499,69963,18469,14982,6899,10911,13602,13882,"OG0000021"
4,2,340,2,5,1815,808,1296,493,54,159,196,393,336,773,225,726,135,1209,"OG0000022"
4,1,44,5,0,768,190,230,177,43,39,34,162,63,185,190,1118,93,417,"OG0000023"
0,0,15,0,0,16,145,17,27,2663,1878,2560,137,76,236,45,369,61,141,"OG0000024"
14,7,162,7,0,24,15,8,19,18,44,4,64,11,53,6,23,8,0,"OG0000026"
8,4,213,77,0,131,121,126,175,0,0,0,35,113,119,15,213,22,8,"OG0000027"
45,2,51,1,0,198,50,59,46,0,0,2,211,25,380,178,605,124,323,"OG0000028"
0,0,0,0,0,6,4,4,2,0,0,0,0,0,230,326,860,42,460,"OG0000030"
4,2,131,15,0,136,9,8,234,37,17,98,882,150,153,94,188,80,45,"OG0000031"
0,0,0,0,0,1,12,2,1,37,13,8,18,6,5,0,0,2,0,"OG0000032"
7,2,1109,162,1,105,262,471,107,1,2,4,105,41,42,9,75,7,1,"OG0000033"
0,0,2,0,0,586,418,411,461,6,22,5,0,3,77,5,25,4,5,"OG0000034"
5,0,126,0,0,0,0,0,0,0,11,16,7,5,14,7,13,13,3,"OG0000035"
1,0,0,0,0,20,41,16,16,16,1,5,384,86,366,164,428,184,78,"OG0000038"
0,0,0,0,0,47,50,30,15,0,11,9,0,0,22,15,88,12,8,"OG0000039"
0,0,0,0,0,31,14,0,1,0,0,0,0,0,0,0,16,24,0,"OG0000041"
1,0,21,0,0,2,81,30,13,239,415,447,134,106,95,42,182,17,33,"OG0000043"
2,0,28,0,0,1,0,0,4,13,10,0,4,0,101,60,151,139,5,"OG0000044"
9,13,25,1,0,38,226,179,128,161,132,94,19,4,180,56,156,52,76,"OG0000045"
308,0,84,7,0,1108,407,304,172,0,0,0,929,414,50,20,559,7,62,"OG0000046"
1,2,91,0,0,2,23,17,17,0,2,4,11,0,0,0,1,2,1,"OG0000049"
4,0,118,0,0,0,0,0,0,55,5,7,13,2,103,5,14,25,0,"OG0000050"
2,0,10,0,0,4,60,44,36,11,18,24,160,12,166,204,182,307,341,"OG0000051"
3,606,32457,1057,261,12141,19276,9611,9096,45642,20929,18409,22606,44668,32991,11045,47946,8955,57085,"OG0000053"
14,0,142,4,0,19511,4426,1371,1065,110,127,217,87,1,247,145,620,90,227,"OG0000054"
1,0,66,0,0,69,54,12,16,2,20,13,124,12,0,0,0,0,0,"OG0000055"
21,1,91,0,0,721,244,75,35,6,20,6,16309,825,278,136,447,75,226,"OG0000056"
3,8,100,57,12,90,66,93,41,30,94,73,205,92,8,2,0,7,0,"OG0000058"
0,16,41,29,0,50,48,0,15,26,27,27,40,0,57,46,66,31,90,"OG0000059"
6,8,341,65,161,5470,1634,1361,988,21,409,42,0,0,12,7,19,0,0,"OG0000060"
21,17,433,180,1,410,82,47,48,0,0,0,39,130,97,8,157,16,95,"OG0000061"
15,0,55,3,0,1220,355,543,337,16,28,37,129,51,10,16,24,2,10,"OG0000062"
0,0,13,0,0,2,3,13,0,0,9,5,443,214,2,0,2,3,0,"OG0000063"
12,0,167,4,0,230,397,471,131,4,0,0,982,310,1105,480,863,460,810,"OG0000064"
6,2,96,1,0,0,9,38,17,39,90,88,905,724,6409,894,3824,766,2164,"OG0000065"
0,0,0,0,0,0,94,10,5,0,2,0,751,80,212,97,268,115,189,"OG0000066"
21,15,241,5,0,392,141,23,117,0,3,0,448,123,85,10,116,9,39,"OG0000067"
0,0,23,0,0,0,10,0,6,0,2,1,139,19,57,9,40,18,1,"OG0000069"
0,0,0,0,0,113,301,188,181,63,91,106,54,1,137,83,356,56,4,"OG0000070"
0,0,0,0,0,4,2,0,27,0,10,0,39,0,4,1,9,1,0,"OG0000071"
0,394,10121,305,2,16754,1376,2227,9098,359,105,96,3823,3120,12482,2572,31379,1143,48718,"OG0000072"
0,0,0,0,0,144,102,183,101,19,34,48,534,198,84,50,67,77,29,"OG0000073"
19,0,138,5,0,4172,1299,669,802,58,79,101,0,0,274,210,234,136,11,"OG0000074"
1,0,0,0,0,18,10,29,8,62,340,361,7,33,207,52,149,19,27,"OG0000076"
5,0,77,3,0,0,0,0,0,0,15,12,82,8,304,28,82,10,39,"OG0000078"
0,0,0,0,0,18,2,16,6,81,51,99,169,43,0,14,31,0,0,"OG0000080"
1,0,61,0,0,2,18,28,1,0,0,0,14,0,43,11,77,19,17,"OG0000081"
1,0,80,0,0,0,0,0,6,0,0,0,222,15,23,6,3,2,0,"OG0000082"
19,10,262,26,0,317,565,120,236,0,0,0,3,0,81,48,129,26,79,"OG0000083"
0,0,0,0,0,364,155,111,85,0,0,0,74,4,0,1,3,1,5,"OG0000084"
0,0,0,0,0,565,440,420,216,0,2,0,95,0,27,6,13,21,9,"OG0000085"
1,0,39,1,0,3,92,9,36,0,0,0,50,3,56,21,22,54,0,"OG0000086"
3,47,3012,220,2,101,3599,823,531,62,369,395,6033,831,1095,99,231,159,187,"OG0000088"
21,5,206,85,0,686,280,499,358,39,66,101,57,2,277,255,661,202,317,"OG0000089"
2,6,135,11,0,8,340,126,6,0,5,1,47,30,91,18,94,24,0,"OG0000091"
19,995,12115,842,144,8422,108266,45084,15864,7815,10168,10463,6173,4016,71374,8153,36446,15083,30192,"OG0000093"
1,0,8,0,0,12,226,58,39,0,1,1,387,106,7,27,4,17,1,"OG0000094"
0,34,739,26,1,44,400,278,423,6,8,6,936,24,681,670,285,269,88,"OG0000095"
0,0,0,0,0,1175,340,442,69,0,0,0,100,15,12,0,41,6,60,"OG0000096"
1,27,1703,78,1,366,1807,629,1079,762,1071,1131,291,165,685,303,277,207,447,"OG0000097"
0,0,5,0,0,10,18,21,16,0,0,0,147,39,187,173,545,49,130,"OG0000098"
4,2,185,3,1,15,158,138,187,30,5,57,135,55,22,2,2,2,0,"OG0000099"
2,0,25,0,0,1,2,1,3,0,15,12,29,2,182,76,177,59,105,"OG0000100"
