"","x"
"1",7
"2",6
"3",2
"4",5
"5",4
"6",2
"7",2
"8",2
"9",3
"10",5
"11",7
"12",2
"13",2
"14",5
"15",3
"16",2
"17",1
"18",2
"19",6
"20",6
"21",6
"22",2
"23",1
"24",6
"25",2
"26",2
"27",1
"28",2
"29",1
"30",5
"31",2
"32",6
"33",1
"34",2
"35",1
"36",2
"37",1
"38",5
"39",2
"40",4
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",2
"48",1
"49",2
"50",5
"51",1
"52",5
"53",5
"54",2
"55",2
"56",6
"57",1
"58",2
"59",1
"60",1
"61",2
"62",2
"63",4
"64",5
"65",2
"66",5
"67",2
"68",2
"69",2
"70",2
"71",2
"72",4
"73",2
"74",4
"75",2
"76",6
"77",2
"78",2
"79",2
"80",1
"81",1
"82",2
"83",1
"84",2
"85",1
"86",7
"87",2
"88",2
"89",6
"90",6
"91",2
"92",1
"93",6
"94",6
"95",1
"96",1
"97",2
"98",1
"99",1
"100",1
"101",4
"102",1
"103",2
"104",3
"105",4
"106",6
"107",3
"108",6
"109",7
"110",1
"111",1
"112",2
"113",2
"114",2
"115",1
"116",5
"117",2
"118",6
"119",5
"120",2
"121",3
"122",1
"123",6
"124",3
"125",2
"126",2
"127",1
"128",6
"129",4
"130",2
"131",2
"132",2
"133",2
"134",3
"135",6
"136",5
"137",1
"138",2
"139",2
"140",6
"141",2
"142",4
"143",4
"144",6
"145",3
"146",3
"147",6
"148",2
"149",1
"150",4
"151",3
"152",7
"153",1
"154",2
"155",1
"156",2
"157",2
"158",4
"159",3
"160",1
"161",6
"162",1
"163",6
"164",1
"165",2
"166",7
"167",7
"168",7
"169",3
"170",2
"171",2
"172",2
"173",2
"174",1
"175",7
"176",1
"177",2
"178",1
"179",6
"180",6
"181",5
"182",7
"183",2
"184",5
"185",1
"186",4
"187",4
"188",2
"189",10
"190",2
"191",7
"192",2
"193",6
"194",3
"195",4
"196",3
"197",3
"198",4
"199",2
"200",2
"201",1
"202",2
"203",3
"204",3
"205",2
"206",1
"207",5
"208",2
"209",2
"210",4
"211",1
"212",3
"213",3
"214",2
"215",2
"216",1
"217",1
"218",2
"219",6
"220",2
"221",2
"222",1
"223",2
"224",2
"225",2
"226",2
"227",2
"228",3
"229",2
"230",7
"231",2
"232",6
"233",5
"234",2
"235",1
"236",2
"237",1
"238",2
"239",2
"240",5
"241",2
"242",6
"243",1
"244",2
"245",3
"246",1
"247",2
"248",1
"249",2
"250",6
"251",2
"252",7
"253",1
"254",6
"255",1
"256",5
"257",7
"258",6
"259",6
"260",5
