,0
0,5
1,3
2,5
3,7
4,5
5,1
6,5
7,5
8,1
9,7
10,3
11,1
12,1
13,7
14,1
15,1
16,7
17,1
18,3
19,3
20,3
21,1
22,7
23,3
24,1
25,1
26,7
27,1
28,1
29,7
30,1
31,3
32,7
33,5
34,7
35,1
36,7
37,7
38,1
39,5
40,1
41,1
42,1
43,1
44,5
45,5
46,1
47,7
48,1
49,7
50,7
51,7
52,7
53,1
54,1
55,3
56,7
57,1
58,7
59,7
60,1
61,1
62,5
63,7
64,1
65,7
66,1
67,5
68,1
69,1
70,1
71,5
72,1
73,5
74,1
75,3
76,1
77,5
78,1
79,7
80,7
81,5
82,7
83,1
84,7
85,3
86,1
87,5
88,3
89,3
90,1
91,7
92,3
93,10
94,7
95,7
96,1
97,7
98,7
99,7
100,5
101,7
102,1
103,5
104,5
105,3
106,1
107,3
108,1
109,7
110,7
111,1
112,1
113,1
114,7
115,7
116,1
117,3
118,7
119,1
120,5
121,7
122,3
123,5
124,1
125,3
126,7
127,3
128,5
129,1
130,1
131,1
132,1
133,5
134,3
135,7
136,5
137,1
138,1
139,3
140,1
141,5
142,5
143,3
144,5
145,5
146,3
147,1
148,7
149,5
150,5
151,1
152,1
153,1
154,7
155,1
156,1
157,5
158,5
159,7
160,3
161,7
162,3
163,7
164,5
165,3
166,1
167,5
168,5
169,1
170,1
171,1
172,1
173,7
174,5
175,7
176,1
177,1
178,3
179,3
180,7
181,3
182,1
183,7
184,7
185,5
186,5
187,1
188,7
189,1
190,3
191,5
192,3
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,7
201,1
202,5
203,5
204,1
205,7
206,7
207,1
208,5
209,5
210,5
211,5
212,1
213,5
214,1
215,7
216,7
217,1
218,3
219,1
220,1
221,7
222,1
223,1
224,1
225,1
226,1
227,5
228,1
229,5
230,1
231,3
232,7
233,1
234,7
235,1
236,5
237,5
238,5
239,7
240,1
241,3
242,7
243,1
244,12
245,7
246,1
247,7
248,1
249,3
250,1
251,3
252,5
253,3
254,7
255,7
256,1
257,3
258,3
259,7
260,5
261,5
262,1
263,5
264,9
265,5
266,7
267,7
268,7
269,5
270,7
271,1
272,3
273,7
274,5
275,3
276,1
277,7
278,1
279,5
280,3
281,3
282,5
283,7
284,1
285,1
286,5
287,5
288,10
289,7
290,7
291,1
292,5
293,7
294,5
295,3
296,5
297,1
298,1
299,5
300,5
301,7
302,7
303,3
304,1
305,5
306,1
307,5
308,5
309,1
310,5
311,7
312,3
313,3
314,5
315,1
316,5
317,3
318,1
319,7
320,1
321,7
322,7
323,5
324,7
325,3
326,7
327,1
328,7
329,5
330,5
331,5
332,5
333,1
334,5
335,7
336,5
337,3
338,7
339,1
340,5
341,7
342,1
343,1
344,1
345,1
346,5
347,1
348,5
349,1
350,1
351,3
352,7
353,1
354,7
355,7
356,1
357,3
358,1
359,5
360,7
361,3
362,5
363,5
364,5
365,5
366,3
367,7
368,1
369,1
370,7
371,7
372,1
373,5
374,5
